t0,t1,baro_d_m,vio_d_m,window_drift_m,cumulative_err_m
45.022,55.022,8.567,2.291,-6.276,-6.276
55.022,65.022,-0.456,-7.917,-7.460,-13.736
65.022,75.022,-2.010,-4.806,-2.796,-16.532
75.022,85.022,0.742,14.008,13.267,-3.265
85.022,95.022,1.041,14.534,13.492,10.227
95.022,105.022,0.008,13.882,13.874,24.101
105.022,115.022,0.344,19.042,18.698,42.799
115.022,125.022,8.718,25.695,16.977,59.775
125.022,135.022,1.405,16.126,14.720,74.495
135.022,145.022,-2.178,-7.229,-5.051,69.444
145.022,155.022,-6.518,-15.234,-8.716,60.728
155.022,165.022,-1.109,-10.915,-9.806,50.922
165.022,175.022,-4.983,-15.102,-10.119,40.803
175.022,185.022,5.384,1.039,-4.345,36.458
185.022,195.022,0.661,-3.842,-4.503,31.956
195.022,205.022,-4.911,-17.229,-12.318,19.638
205.022,215.022,-5.902,-19.492,-13.590,6.048
215.022,225.022,-5.846,-15.759,-9.913,-3.865
225.022,235.022,-4.667,-14.733,-10.066,-13.931
235.022,245.022,5.272,-6.070,-11.342,-25.273
245.022,255.022,7.246,15.238,7.992,-17.281
255.022,265.022,11.431,30.807,19.376,2.095
265.022,275.022,8.480,24.688,16.208,18.303
275.022,285.022,9.600,25.495,15.895,34.198
285.022,295.022,5.065,1.414,-3.650,30.547
295.022,305.022,3.729,-16.202,-19.931,10.617
305.022,315.022,-5.210,-20.476,-15.266,-4.649
315.022,325.022,1.120,-12.875,-13.995,-18.644
325.022,335.022,4.796,-0.421,-5.217,-23.860
335.022,345.022,-3.892,-9.585,-5.693,-29.553
345.022,355.022,-24.139,-27.757,-3.618,-33.171
355.022,365.022,-15.309,-23.529,-8.220,-41.391
365.022,375.022,-15.474,-26.130,-10.656,-52.047
375.022,385.022,-1.179,-19.046,-17.867,-69.914
385.022,395.022,1.996,-25.764,-27.761,-97.674
395.022,405.022,3.987,-14.343,-18.329,-116.004
405.022,415.022,-1.873,4.109,5.982,-110.022
415.022,425.022,1.092,8.132,7.040,-102.982
425.022,435.022,-0.179,6.152,6.331,-96.651
435.022,445.022,-1.890,5.133,7.023,-89.628
445.022,455.022,-0.958,1.856,2.814,-86.814
455.022,465.022,-1.744,1.792,3.537,-83.277
465.022,475.022,0.879,7.861,6.982,-76.295
475.022,485.022,-1.321,3.894,5.215,-71.080
485.022,495.022,-1.235,2.953,4.187,-66.893
495.022,505.022,0.764,1.462,0.698,-66.195
505.022,515.022,-5.045,-15.283,-10.238,-76.433
515.022,525.022,-24.775,-33.176,-8.402,-84.835
525.022,535.022,-23.053,-31.117,-8.064,-92.899
535.022,545.022,-17.344,-23.821,-6.476,-99.375
545.022,555.022,-4.029,-4.775,-0.746,-100.121
555.022,558.316,-8.534,-2.784,5.749,-94.372
